Название,Ссылка на страницу
BTC,https://coinmarketcap.com/currencies/bitcoin/
ETH,https://coinmarketcap.com/currencies/ethereum/
USDT,https://coinmarketcap.com/currencies/tether/
BNB,https://coinmarketcap.com/currencies/bnb/
USDC,https://coinmarketcap.com/currencies/usd-coin/
XRP,https://coinmarketcap.com/currencies/xrp/
SOL,https://coinmarketcap.com/currencies/solana/
ADA,https://coinmarketcap.com/currencies/cardano/
LUNA,https://coinmarketcap.com/currencies/terra-luna/
UST,https://coinmarketcap.com/currencies/terrausd/
BUSD,https://coinmarketcap.com/currencies/binance-usd/
DOGE,https://coinmarketcap.com/currencies/dogecoin/
AVAX,https://coinmarketcap.com/currencies/avalanche/
DOT,https://coinmarketcap.com/currencies/polkadot-new/
WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/
SHIB,https://coinmarketcap.com/currencies/shiba-inu/
TRX,https://coinmarketcap.com/currencies/tron/
DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/
NEAR,https://coinmarketcap.com/currencies/near-protocol/
MATIC,https://coinmarketcap.com/currencies/polygon/
LTC,https://coinmarketcap.com/currencies/litecoin/
CRO,https://coinmarketcap.com/currencies/cronos/
LEO,https://coinmarketcap.com/currencies/unus-sed-leo/
BCH,https://coinmarketcap.com/currencies/bitcoin-cash/
UNI,https://coinmarketcap.com/currencies/uniswap/
ALGO,https://coinmarketcap.com/currencies/algorand/
FTT,https://coinmarketcap.com/currencies/ftx-token/
LINK,https://coinmarketcap.com/currencies/chainlink/
ATOM,https://coinmarketcap.com/currencies/cosmos/
XLM,https://coinmarketcap.com/currencies/stellar/
XMR,https://coinmarketcap.com/currencies/monero/
ETC,https://coinmarketcap.com/currencies/ethereum-classic/
APE,https://coinmarketcap.com/currencies/apecoin-ape/
VET,https://coinmarketcap.com/currencies/vechain/
ICP,https://coinmarketcap.com/currencies/internet-computer/
HBAR,https://coinmarketcap.com/currencies/hedera/
FIL,https://coinmarketcap.com/currencies/filecoin/
EGLD,https://coinmarketcap.com/currencies/elrond-egld/
SAND,https://coinmarketcap.com/currencies/the-sandbox/
MANA,https://coinmarketcap.com/currencies/decentraland/
XTZ,https://coinmarketcap.com/currencies/tezos/
CAKE,https://coinmarketcap.com/currencies/pancakeswap/
THETA,https://coinmarketcap.com/currencies/theta-network/
EOS,https://coinmarketcap.com/currencies/eos/
RUNE,https://coinmarketcap.com/currencies/thorchain/
AXS,https://coinmarketcap.com/currencies/axie-infinity/
KLAY,https://coinmarketcap.com/currencies/klaytn/
AAVE,https://coinmarketcap.com/currencies/aave/
FTM,https://coinmarketcap.com/currencies/fantom/
ZEC,https://coinmarketcap.com/currencies/zcash/
KCS,https://coinmarketcap.com/currencies/kucoin-token/
WAVES,https://coinmarketcap.com/currencies/waves/
HNT,https://coinmarketcap.com/currencies/helium/
GMT,https://coinmarketcap.com/currencies/green-metaverse-token/
BTT,https://coinmarketcap.com/currencies/bittorrent-new/
FLOW,https://coinmarketcap.com/currencies/flow/
GRT,https://coinmarketcap.com/currencies/the-graph/
HT,https://coinmarketcap.com/currencies/huobi-token/
TUSD,https://coinmarketcap.com/currencies/trueusd/
BSV,https://coinmarketcap.com/currencies/bitcoin-sv/
CVX,https://coinmarketcap.com/currencies/convex-finance/
XEC,https://coinmarketcap.com/currencies/ecash/
MIOTA,https://coinmarketcap.com/currencies/iota/
MKR,https://coinmarketcap.com/currencies/maker/
NEO,https://coinmarketcap.com/currencies/neo/
NEXO,https://coinmarketcap.com/currencies/nexo/
CRV,https://coinmarketcap.com/currencies/curve-dao-token/
STX,https://coinmarketcap.com/currencies/stacks/
CELO,https://coinmarketcap.com/currencies/celo/
QNT,https://coinmarketcap.com/currencies/quant/
USDP,https://coinmarketcap.com/currencies/paxos-standard/
USDN,https://coinmarketcap.com/currencies/neutrino-usd/
ZIL,https://coinmarketcap.com/currencies/zilliqa/
OKB,https://coinmarketcap.com/currencies/okb/
CHZ,https://coinmarketcap.com/currencies/chiliz/
KSM,https://coinmarketcap.com/currencies/kusama/
GALA,https://coinmarketcap.com/currencies/gala/
DASH,https://coinmarketcap.com/currencies/dash/
LDO,https://coinmarketcap.com/currencies/lido-dao/
LRC,https://coinmarketcap.com/currencies/loopring/
ONE,https://coinmarketcap.com/currencies/harmony/
ENJ,https://coinmarketcap.com/currencies/enjin-coin/
XDC,https://coinmarketcap.com/currencies/xinfin/
MINA,https://coinmarketcap.com/currencies/mina/
BAT,https://coinmarketcap.com/currencies/basic-attention-token/
AMP,https://coinmarketcap.com/currencies/amp/
DCR,https://coinmarketcap.com/currencies/decred/
XEM,https://coinmarketcap.com/currencies/nem/
HOT,https://coinmarketcap.com/currencies/holo/
AR,https://coinmarketcap.com/currencies/arweave/
PAXG,https://coinmarketcap.com/currencies/pax-gold/
COMP,https://coinmarketcap.com/currencies/compound/
KAVA,https://coinmarketcap.com/currencies/kava/
ICX,https://coinmarketcap.com/currencies/icon/
TFUEL,https://coinmarketcap.com/currencies/theta-fuel/
YFI,https://coinmarketcap.com/currencies/yearn-finance/
1INCH,https://coinmarketcap.com/currencies/1inch/
GNO,https://coinmarketcap.com/currencies/gnosis-gno/
KDA,https://coinmarketcap.com/currencies/kadena/
GLMR,https://coinmarketcap.com/currencies/moonbeam/
SCRT,https://coinmarketcap.com/currencies/secret/
QTUM,https://coinmarketcap.com/currencies/qtum/
ANC,https://coinmarketcap.com/currencies/anchor-protocol/
